Film_title,Release_year,Director,Average_rating,Letterboxd URL
Three Steps Over Heaven,2004,Luca Lucini,2.0,https://letterboxd.com//film/three-steps-over-heaven/
Winterbeast,1992,Christopher Thies,2.76,https://letterboxd.com//film/winterbeast/
Unity,2015,Shaun Monson,2.97,https://letterboxd.com//film/unity-2015/
I'm in Love with a Church Girl,2013,Steve Race,1.65,https://letterboxd.com//film/im-in-love-with-a-church-girl/
Strange Magic,2015,Gary Rydstrom,2.32,https://letterboxd.com//film/strange-magic/
Humans,2009,"Jacques-Olivier Molon, Pierre-Olivier Thevenin",3.11,https://letterboxd.com//film/humans/
Coal Black and de Sebben Dwarfs,1943,Robert Clampett,2.54,https://letterboxd.com//film/coal-black-and-de-sebben-dwarfs/
Killer Nerd,1991,"Mark Steven Bosko, Wayne A. Harold",2.38,https://letterboxd.com//film/killer-nerd/
The Last Sharknado: It's About Time,2018,Anthony C. Ferrante,1.8,https://letterboxd.com//film/the-last-sharknado-its-about-time/
Hollywood Cop,1987,Amir Shervan,2.37,https://letterboxd.com//film/hollywood-cop/
Hardly Working,1981,Jerry Lewis,2.92,https://letterboxd.com//film/hardly-working/
God's Not Dead: A Light in Darkness,2018,Michael Mason,1.67,https://letterboxd.com//film/gods-not-dead-a-light-in-darkness/
Scary Godmother: Halloween Spooktakular,2003,Ezekiel Norton,3.06,https://letterboxd.com//film/scary-godmother-halloween-spooktakular/
Banana,2010,"Kyle Balda, Samuel Tourneux",2.76,https://letterboxd.com//film/banana-2010/
The Twilight Saga: Breaking Dawn - Part 1,2011,Bill Condon,2.34,https://letterboxd.com//film/the-twilight-saga-breaking-dawn-part-1/
Skinned Deep,2004,Gabriel Bartalos,2.53,https://letterboxd.com//film/skinned-deep/
Overcomer,2019,Alex Kendrick,2.62,https://letterboxd.com//film/overcomer/
My Mum Tracy Beaker,2021,,2.85,https://letterboxd.com//film/my-mum-tracy-beaker/
The Clique,2008,Michael Lembeck,2.51,https://letterboxd.com//film/the-clique-2008/
August Underground,2001,Fred Vogel,2.03,https://letterboxd.com//film/august-underground/
Flaming Creatures,1963,Jack Smith,2.94,https://letterboxd.com//film/flaming-creatures/
Kabir Singh,2019,Sandeep Reddy Vanga,2.59,https://letterboxd.com//film/kabir-singh/
Felix the Cat: The Movie,1988,Tibor Hernádi,2.18,https://letterboxd.com//film/felix-the-cat-the-movie/
The Book of Henry,2017,Colin Trevorrow,2.36,https://letterboxd.com//film/the-book-of-henry/
The Last Slumber Party,1987,Stephen Tyler,2.14,https://letterboxd.com//film/the-last-slumber-party/
Still Life (Betamale),2013,Jon Rafman,3.31,https://letterboxd.com//film/still-life-betamale/
When the Moon Was Full,2019,Narges Abyar,2.29,https://letterboxd.com//film/when-the-moon-was-full/
Mac & Devin Go to High School,2012,Dylan C. Brown,1.94,https://letterboxd.com//film/mac-devin-go-to-high-school/
MAN 2020,2020,Steve Cutts,2.15,https://letterboxd.com//film/man-2020/
Vinyl,1965,Andy Warhol,2.93,https://letterboxd.com//film/vinyl/
Hot Gimmick: Girl Meets Boy,2019,Yuki Yamato,2.09,https://letterboxd.com//film/hot-gimmick-girl-meets-boy/
Riding the Bus with My Sister,2005,Anjelica Huston,1.58,https://letterboxd.com//film/riding-the-bus-with-my-sister/
Another Gay Movie,2006,Todd Stephens,2.12,https://letterboxd.com//film/another-gay-movie/
Gutterballs,2008,Ryan Nicholson,2.36,https://letterboxd.com//film/gutterballs/
Ouija Shark,2020,Brett Kelly,1.55,https://letterboxd.com//film/ouija-shark/
Starstruck,2010,Michael Grossman,2.72,https://letterboxd.com//film/starstruck-2010/
The Love is Similar to You,2015,A. Taner Elhan,2.03,https://letterboxd.com//film/the-love-is-similar-to-you/
Boardinghouse,1982,John Wintergate,2.73,https://letterboxd.com//film/boardinghouse/
Sir Billi,2012,Sascha Hartmann,1.44,https://letterboxd.com//film/sir-billi/
Sharkenstein,2016,Mark Polonia,1.75,https://letterboxd.com//film/sharkenstein/
Assassin 33 A.D.,2020,Jim Carroll,1.87,https://letterboxd.com//film/assassin-33-ad/
Z-O-M-B-I-E-S 2,2020,Paul Hoen,2.37,https://letterboxd.com//film/z-o-m-b-i-e-s-2/
Here Even So,2015,Eli Hayes,3.19,https://letterboxd.com//film/here-even-so/
Pine,2018,Karsten Runquist,2.42,https://letterboxd.com//film/pine/
Fifty Shades Freed,2018,James Foley,1.96,https://letterboxd.com//film/fifty-shades-freed/
Mower Minions,2016,"Bruno Chauffard, Glenn McCoy",2.33,https://letterboxd.com//film/mower-minions/
Death Bed: The Bed That Eats,1977,George Barry,2.51,https://letterboxd.com//film/death-bed-the-bed-that-eats/
Clownado,2019,Todd Sheets,1.87,https://letterboxd.com//film/clownado/
A Fall from Grace,2020,Tyler Perry,2.53,https://letterboxd.com//film/a-fall-from-grace-2020/
AI,2019,Lucrecia Martel,2.41,https://letterboxd.com//film/ai-2019/
RuPaul's Drag Race Holi-slay Spectacular,2018,,2.13,https://letterboxd.com//film/rupauls-drag-race-holi-slay-spectacular/
The Oregonian,2011,Calvin Lee Reeder,2.67,https://letterboxd.com//film/the-oregonian/
Sister In Law,2016,Kıvanç Baruönü,2.27,https://letterboxd.com//film/sister-in-law/
American Guinea Pig: Bouquet of Guts and Gore,2014,Stephen Biro,2.69,https://letterboxd.com//film/american-guinea-pig-bouquet-of-guts-and-gore/
Deadly Prey,1987,David A. Prior,2.73,https://letterboxd.com//film/deadly-prey/
I'm Crazy About Love,2003,Sooraj Barjatya,2.1,https://letterboxd.com//film/im-crazy-about-love/
Blow Job,1964,Andy Warhol,2.57,https://letterboxd.com//film/blow-job/
Perfect High,2015,Vanessa Parise,2.31,https://letterboxd.com//film/perfect-high/
